,clause,verb,phrase,cmpl_type,cmpl_func
468070,468070,NPL[,773884,<L,DIR
453047,453047,NPL[,728915,B,-
460002,460002,NPL[,750026,B,-
457903,457903,NPL[,743636,B,LOC
456162,456162,NPL[,738309,B,LOC
461080,461080,NPL[,753193,B,-
461082,461082,NPL[,753198,B,-
460744,460744,NPL[,752311,B,-
449923,449923,NPL[,719397,B,DIR
458065,458065,NPL[,744109,B,-
441235,441235,NTN[,693149,<L,DIR
441248,441248,NTN[,693197,<L,DIR
440760,440760,NTN[,691771,<L,DIR
446552,446552,NTN[,709194,B,-
441256,441256,NTN[,693225,<L,DIR
441259,441259,NTN[,693235,<L,DIR
445812,445812,NTN[,706995,B,-
445782,445782,NTN[,706902,B,-
441409,441409,NTN[,693669,<L,DIR
446556,446556,NTN[,709209,B,-
441421,441421,NTN[,693709,<L,DIR
445702,445702,NTN[,706664,B,-
441239,441239,NTN[,693164,<L,DIR
462192,462192,NTN[,756526,B,DIR
441533,441533,NTN[,694085,<L,DIR
445155,445155,NTN[,705032,<L,-
444725,444725,NTN[,703728,<L,-
443320,443320,NTN[,699503,B,-
444267,444267,NTN[,702244,B,-
442820,442820,NTN[,697908,<L,DIR
444970,444970,NTN[,704492,B,-
445150,445150,NTN[,705020,B,-
442717,442717,NTN[,697603,<L,?
442713,442713,NTN[,697586,<L,DIR
445178,445178,NTN[,705102,B,-
442631,442631,NTN[,697355,<L,DIR
445210,445210,NTN[,705188,B,-
442163,442163,NTN[,695913,<L,-
442139,442139,NTN[,695844,<L,-
441538,441538,NTN[,694100,<L,DIR
445214,445214,NTN[,705203,B,-
440408,440408,NTN[,690610,<L,DIR
439689,439689,NTN[,688476,<L,DIR
446882,446882,NTN[,710254,B,-
437824,437824,NTN[,682601,<L,DIR
437887,437887,NTN[,682829,<L,-
437928,437928,NTN[,682966,<L,DIR
437972,437972,NTN[,683098,<L,DIR
438112,438112,NTN[,683550,<L,DIR
438128,438128,NTN[,683608,<L,DIR
462321,462321,NTN[,756916,B,-
438206,438206,NTN[,683861,<L,DIR
438505,438505,NTN[,684719,<L,DIR
438508,438508,NTN[,684731,<L,DIR
438535,438535,NTN[,684825,<L,DIR
438560,438560,NTN[,684916,<L,DIR
438569,438569,NTN[,684948,<L,DIR
438639,438639,NTN[,685163,<L,DIR
449183,449183,NTN[,717107,B,-
448940,448940,NTN[,716350,B,-
447425,447425,NTN[,711945,B,DIR
446232,446232,NTN[,708248,<L,-
